"Mercado","producto","variedad","Procedencia","Precio Mayorista","Precio Minorista","observaciones","fecha"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mdo pompeya","11/07/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","32   Bs.-/Arroba (@)","mdo campesino","11/07/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo pompeya","11/07/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Espinaca","Comun","Los Negros","0   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","7   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","7   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Frejol","Mantecoso","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Huevo","Criollo","Valles Cruceños","0   Bs.-/100 U.","100   Bs.-/100 U.","mdo campesino","11/07/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","56   Bs.-/100 U.","mdo pompeya","11/07/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","54   Bs.-/100 U.","mdo campesino","11/07/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","2   Bs.-/Unidad","mdo pompeya","11/07/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","2   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo pompeya","11/07/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo pompeya","11/07/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","9   Bs.-/25 U.","mdo campesino","11/07/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo pompeya","11/07/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","9   Bs.-/25 U.","mdo campesino","11/07/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Maiz","Blanco","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","25   Bs.-/Docena","mdo pompeya","11/07/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","25   Bs.-/Docena","mdo campesino","11/07/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","5   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","5   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Mandarina","Criolla","No determinado","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesino","11/07/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","11   Bs.-/25 U.","mdo pompeya","11/07/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","11   Bs.-/25 U.","mdo campesino","11/07/2009"
"Trinidad","Mani","Pelado","Valles Cruceños","0   Bs.-/Arroba (@)","16   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","14   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo pompeya","11/07/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Oca","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Oca","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","11/07/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","mdo campesino","11/07/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","11/07/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","mdo campesino","11/07/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","15   Bs.-/Docena","mdo pompeya","11/07/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","15   Bs.-/Docena","mdo campesino","11/07/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","25   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","24   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","10   Bs.-/Unidad","mdo pompeya","11/07/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","10   Bs.-/Unidad","mdo campesino","11/07/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Trigo","Pelado o Curtido","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya","11/07/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino","11/07/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","11/07/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo campesino","11/07/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","11/07/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesino","11/07/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo campesino","10/07/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","6   Bs.-/Unidad","cabeza chica-mdo campesino","10/07/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mdo campesino","10/07/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","mdo campesino","10/07/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Espinaca","Comun","Los Negros","0   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","7   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","7   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Huevo","Criollo","Valles Cruceños","0   Bs.-/100 U.","100   Bs.-/100 U.","mdo campesino","10/07/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","54   Bs.-/100 U.","mdo campesino","10/07/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","1   Bs.-/Unidad","mdo campesino","10/07/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","3   Bs.-/Unidad","lechuga pequeña-mdo campesino","10/07/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesino","10/07/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo campesino","10/07/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","20   Bs.-/Docena","mdo campesino","10/07/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","5   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Mandarina","Criolla","No determinado","0   Bs.-/100 U.","9   Bs.-/25 U.","mdo campesino","10/07/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","11   Bs.-/25 U.","mdo campesino","10/07/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo campesino","10/07/2009"
"Trinidad","Oca","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","papa mediana-mdo campesino","10/07/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","32   Bs.-/Arroba (@)","papa mediana-mdo campesino","10/07/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","10   Bs.-/Docena","mdo campesino","10/07/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","25   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","10   Bs.-/Unidad","mdo campesino","10/07/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","tomate fresco-mdo campesino","10/07/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","tomate maduro-mdo campesino","10/07/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo campesino","10/07/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo campesino","10/07/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo campesino","10/07/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo pompeya","09/07/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","9   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","cabeza grande-mdo pompeya","09/07/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mdo pompeya","09/07/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","8   Bs.-/Unidad","cabeza grande-mdo pompeya","09/07/2009"
"Trinidad","Durazno","Amarillo","Tarija","0   Bs.-/Caja de 23 Kg","20   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Espinaca","Comun","Los Negros","0   Bs.-/Bolsa Grande","12   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","7   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Frejol","Mantecoso","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Frejol","Negro","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","56   Bs.-/100 U.","mdo pompeya","09/07/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","2   Bs.-/Unidad","mdo pompeya","09/07/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo pompeya","09/07/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","9   Bs.-/25 U.","mdo pompeya","09/07/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","9   Bs.-/25 U.","mdo pompeya","09/07/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","30   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Maiz","Blanco pelado","Cochabamba","0   Bs.-/qq","10   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","25   Bs.-/Docena","mdo pompeya","09/07/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","6   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","11   Bs.-/25 U.","mdo pompeya","09/07/2009"
"Trinidad","Mani","Pelado","Valles Cruceños","0   Bs.-/Arroba (@)","16   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","14   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Manzana","Criolla","Vallegrande","0   Bs.-/Arroba (@)","2   Bs.-/Libra","mdo pompeya","09/07/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo pompeya","09/07/2009"
"Trinidad","Oca","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","papa medianamdo pompeya","09/07/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","papa medianamdo pompeya","09/07/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Pepino","Comun","Los Negros","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Pimenton","4 Puntas","Los Negros","0   Bs.-/Bolsa Grande","15   Bs.-/Docena","mdo pompeya","09/07/2009"
"Trinidad","Pollo","Criollo","San juan","0   Bs.-/Kilo","23   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Pollo","Granja","Cruceño","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Pollo","Granja","Mairana","0   Bs.-/Kilo","11   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Repollo","Hibrido","Los Negros","0   Bs.-/Unidad","10   Bs.-/Unidad","repollo grande-mdo pompeya","09/07/2009"
"Trinidad","Tomate","Manzana","Los Negros","0   Bs.-/Caja de 18 Kg","6   Bs.-/Kilo","tomates  fresco-mdo pompeya","09/07/2009"
"Trinidad","Tomate","Pera","Los Negros","0   Bs.-/Caja de 18 Kg","5   Bs.-/Kilo","tomates  fresco-mdo pompeya","09/07/2009"
"Trinidad","Trigo","Comun","Cochabamba","0   Bs.-/Arroba (@)","8   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Trigo","Pelado o Curtido","Cochabamba","0   Bs.-/Arroba (@)","9   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Vainita","Comun","Los Negros","0   Bs.-/Arroba (@)","12   Bs.-/3 Libras","mdo pompeya","09/07/2009"
"Trinidad","Zanahoria","Chantenay","Los Negros","0   Bs.-/Bolsa (10@)","35   Bs.-/Arroba (@)","mdo pompeya","09/07/2009"
"Trinidad","Zapallo","Quintalero","Valles Cruceños","0   Bs.-/qq","3   Bs.-/Kilo","mdo pompeya","09/07/2009"
"Trinidad","Acelga","Comun","Los Negros","0   Bs.-/Amarro","12   Bs.-/Amarro","mdo campesin","08/07/2009"
"Trinidad","Achojcha","Comun","Los Negros","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo campesin","08/07/2009"
"Trinidad","Arveja","Verde (en vaina)","Comarapa","0   Bs.-/Bolsa (2@)","12   Bs.-/3 Libras","mdo campesin","08/07/2009"
"Trinidad","Brocoli","Bola verde","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo campesin","08/07/2009"
"Trinidad","Cebolla","Roja","Cochabamba","0   Bs.-/Bolsa (8@)","30   Bs.-/Arroba (@)","mdo campesin","08/07/2009"
"Trinidad","Coliflor","Bola de nieve","Los Negros","0   Bs.-/Canasta","10   Bs.-/Unidad","mdo campesin","08/07/2009"
"Trinidad","Frejol","Carioca","Valles Cruceños","0   Bs.-/qq","7   Bs.-/Kilo","mdo campesin","08/07/2009"
"Trinidad","Haba","Comun (en vaina)","Cochabamba","0   Bs.-/Bolsa (2@)","6   Bs.-/3 Libras","mdo campesin","08/07/2009"
"Trinidad","Huevo","Criollo","Valles Cruceños","0   Bs.-/100 U.","100   Bs.-/100 U.","mdo campesin","08/07/2009"
"Trinidad","Huevo","de Granja","San juan","0   Bs.-/100 U.","54   Bs.-/100 U.","mdo campesin","08/07/2009"
"Trinidad","Lechuga","Crespa","Los Negros","0   Bs.-/Canasta","2   Bs.-/Unidad","mdo campesin","08/07/2009"
"Trinidad","Lechuga","Escarola","Los Negros","0   Bs.-/Canasta","5   Bs.-/Unidad","mdo campesin","08/07/2009"
"Trinidad","Lima","Criolla","Comarapa","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesin","08/07/2009"
"Trinidad","Limon","Amarillo","Cruceño","0   Bs.-/100 U.","6   Bs.-/25 U.","mdo campesin","08/07/2009"
"Trinidad","Locoto","Cochabambino","Los Negros","0   Bs.-/Arroba (@)","30   Bs.-/3 Libras","mdo campesin","08/07/2009"
"Trinidad","Maiz","Choclo","Cochabamba","0   Bs.-/100 U.","20   Bs.-/Docena","mdo campesin","08/07/2009"
"Trinidad","Maiz","Duro","Valles Cruceños","0   Bs.-/qq","2   Bs.-/Kilo","mdo campesin","08/07/2009"
"Trinidad","Maiz","Morocho (Culli)","Valles Cruceños","0   Bs.-/qq","6   Bs.-/Kilo","mdo campesin","08/07/2009"
"Trinidad","Mandarina","Criolla","No determinado","0   Bs.-/100 U.","8   Bs.-/25 U.","mdo campesin","08/07/2009"
"Trinidad","Mandarina","Japonesa","No determinado","0   Bs.-/100 U.","11   Bs.-/25 U.","mdo campesin","08/07/2009"
"Trinidad","Mani","Rojo largo Desgranado","Valles Cruceños","0   Bs.-/qq","16   Bs.-/Kilo","mdo campesin","08/07/2009"
"Trinidad","Manzana","Lanin royal","Argentina","0   Bs.-/Caja de 150U.","2   Bs.-/Unidad","mdo campesin","08/07/2009"
"Trinidad","Oca","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesin","08/07/2009"
"Trinidad","Papa","Romano","Saipina","0   Bs.-/Bolsa (10@)","33   Bs.-/Arroba (@)","mdo campesin","08/07/2009"
"Trinidad","Papa","Waycha (Arinosa)","Chapare","0   Bs.-/Bolsa (10@)","33   Bs.-/Arroba (@)","mdo campesin","08/07/2009"
"Trinidad","Papaliza","Amarilla","Cochabamba","0   Bs.-/Arroba (@)","6   Bs.-/3 Libras","mdo campesin","08/07/2009"
